Open,High,Low,Close,Adj Close,Volume,Return,Z_Score,Anomaly,Close_Diff,Lag_1,Lag_2,Lag_3,Lag_7,MA_7,MA_30
87.752853,87.812859,86.01857,86.814285,75.019646,134017100,-0.003770532663261217,-0.29137408318589036,0,-0.3285750000000007,87.14286,80.040001,81.671425,87.099998,84.04979585714285,86.46499983333335
86.438568,86.597145,85.785713,86.14286,74.43943,101680600,-0.0077340382403656704,-0.5371898834496601,0,-0.6714249999999993,86.814285,87.14286,80.040001,86.905716,83.94081642857142,86.54804756666667
85.400002,85.485718,83.285713,83.425713,72.091446,126536200,-0.03154233560390263,-2.0137755865562417,0,-2.717146999999997,86.14286,86.814285,87.14286,83.919998,83.8702042857143,86.54047616666666
83.557144,85.251427,83.03286,83.16143,71.863052,152749800,-0.003167884222937456,-0.2539979509327544,0,-0.26428300000000604,83.425713,86.14286,86.814285,81.854286,84.05693914285715,86.45014286666667
82.891426,83.914284,82.694283,83.711426,72.338333,106847300,0.006613594787872268,0.3526473644403171,0,0.5499960000000073,83.16143,83.425713,86.14286,81.671425,84.34836785714286,86.355
84.35714,84.485718,82.900002,83.117142,71.824791,97637400,-0.007099198142915375,-0.4978172312460825,0,-0.5942840000000018,83.711426,83.16143,83.425713,80.040001,84.78795942857143,86.25652386666667
82.440002,82.622856,80.738571,80.75,69.779243,132498100,-0.028479588482481777,-1.823824640351787,0,-2.367142000000001,83.117142,83.711426,83.16143,87.14286,83.87469371428571,86.09419043333334
80.214287,81.824287,80.175713,81.354286,70.301445,115029600,0.007483417956656302,0.40659361837212543,0,0.6042860000000019,80.75,83.117142,83.711426,86.814285,83.09469385714286,85.96766656666667
81.368568,81.64286,79.818573,81.168571,70.140945,124313000,-0.002282793066366584,-0.19910477954032257,0,-0.18571500000000185,81.354286,80.75,83.117142,86.14286,82.38408114285714,85.78290473333332
80.528572,81.997147,80.121429,81.311432,70.264397,120176000,0.0017600531614632153,0.05163171155435227,0,0.14286099999999635,81.168571,81.354286,80.75,83.425713,82.082041,85.56719046666667
82.082855,82.26857,81.205711,81.502853,70.429832,83300000,0.002354170813275047,0.08847876605948292,0,0.1914210000000054,81.311432,81.168571,81.354286,83.16143,81.84510142857143,85.34290456666668
80.714287,82.067146,80.621429,80.958572,69.959488,99886500,-0.0066780607054331975,-0.4716983740370198,0,-0.544280999999998,81.502853,81.311432,81.168571,83.711426,81.45183657142857,85.13742843333334
80.367142,81.072861,79.657143,79.745712,68.911415,88156600,-0.014981242505117343,-0.986660000586823,0,-1.2128600000000063,80.958572,81.502853,81.311432,83.117142,80.97020371428572,84.94061876666666
80.207146,80.459999,78.821426,79.024284,68.287987,119084000,-0.009046605540370622,-0.6185950372898839,0,-0.7214280000000031,79.745712,80.958572,81.502853,80.75,80.72367285714286,84.62890433333334
79.150002,79.555717,77.291428,78.011429,67.412743,140224000,-0.012817009515707745,-0.8524347159493717,0,-1.0128549999999876,79.024284,79.745712,80.958572,81.354286,80.24612185714285,84.23252346666668
77.901428,78.214287,75.73143,75.73143,65.442513,179305000,-0.029226473982421286,-1.870146325360532,0,-2.2799990000000037,78.011429,79.024284,79.745712,81.168571,79.46938742857142,83.78399976666667
76.279999,77.629997,74.597145,75.76857,65.474609,183073100,0.0004904172547646191,-0.02711084610762914,0,0.037139999999993734,75.73143,78.011429,79.024284,81.311432,78.67755,83.29209506666668
76.35714,80.220001,76.292854,80.182854,69.289162,157776500,0.058260093862138485,3.5557526089742564,1,4.414284000000009,75.76857,75.73143,78.011429,81.502853,78.48897871428572,82.93519023333333
81.364288,81.982857,78.940002,79.567146,68.757088,173717600,-0.007678798761640682,-0.5337639423465681,0,-0.6157080000000121,80.182854,75.76857,75.73143,80.958572,78.29020357142858,82.59485693333335
79.64286,81.828575,79.03286,81.508568,70.434761,146224400,0.024399794357334414,1.4557438016131192,0,1.9414220000000029,79.567146,80.182854,75.76857,79.745712,78.54204014285713,82.32990433333333
82.267143,82.35714,80.175713,80.760002,69.78791,124057500,-0.009183893403697074,-0.627109602321668,0,-0.7485659999999967,81.508568,79.567146,80.182854,79.024284,78.78999985714286,82.05633306666667
80.655716,80.835716,79.781425,80.327141,69.413841,82126800,-0.0053598438494343315,-0.3899428358966449,0,-0.4328610000000026,80.760002,81.508568,79.567146,78.011429,79.12081585714284,81.8518569
81.557144,82.0,80.758568,81.752853,70.645882,95127200,0.017748820414260846,1.0432517663314385,0,1.4257120000000043,80.327141,80.760002,81.508568,75.73143,79.98101914285714,81.8144281
81.314285,82.855713,80.937141,82.738571,71.497665,132357400,0.012057291749805854,0.6902643297906578,0,0.9857179999999914,81.752853,80.327141,80.760002,75.76857,80.97673357142857,81.6690472
82.96286,83.071426,81.637146,82.53286,71.319878,122918600,-0.0024862769263925832,-0.21172480666529858,0,-0.20571099999999376,82.738571,81.752853,80.327141,80.182854,81.31244871428571,81.52328533333333
81.308571,81.807144,80.074287,80.141426,69.253372,130246900,-0.02897553774339101,-1.8545833114546777,0,-2.391434000000004,82.53286,82.738571,81.752853,79.567146,81.39448871428571,81.39733293333333
80.214287,81.071426,78.35714,80.612854,69.660744,139248900,0.005882450856314891,0.30730196826326034,0,0.47142800000000307,80.141426,82.53286,82.738571,81.508568,81.26652957142856,81.35595186666666
80.181427,80.924286,79.761429,80.404289,69.480499,97053600,-0.002587242476243201,-0.21798666928988272,0,-0.208564999999993,80.612854,80.141426,82.53286,80.760002,81.21571342857143,81.31371399999999
81.110001,81.978569,80.785713,81.637146,70.545883,100363900,0.015333224325881467,0.8934369940225259,0,1.2328569999999957,80.404289,80.612854,80.141426,80.327141,81.40285700000001,81.36695216666666
82.470001,82.474289,81.5,81.674286,70.577957,94941700,0.00045493996078693755,-0.02931114057944564,0,0.037139999999993734,81.637146,80.404289,80.612854,81.752853,81.39163314285715,81.18466636666668
81.657143,82.940002,81.285713,82.902855,71.639626,86879100,0.015042298625053352,0.8753938419251832,0,1.2285690000000073,81.674286,81.637146,80.404289,82.738571,81.41510228571428,81.05428536666666
83.959999,84.071426,81.51857,81.595711,70.510078,147816200,-0.015767177137626986,-1.0354035047618593,0,-1.307144000000008,82.902855,81.674286,81.637146,82.53286,81.28122385714286,80.90271373333333
82.065712,82.374283,80.957146,82.308571,71.126038,108845100,0.008736488612741011,0.48430880259990633,0,0.7128600000000063,81.595711,82.902855,81.674286,80.141426,81.590816,80.86547566666667
82.074287,82.639999,81.482857,81.737144,70.632256,73395000,-0.006942496912016649,-0.4880986531524373,0,-0.5714269999999999,82.308571,81.595711,82.902855,80.612854,81.75142885714286,80.81799946666666
81.605713,81.928574,81.03714,81.647141,70.554489,86393300,-0.0011011272916509052,-0.12581811136102686,0,-0.09000299999999584,81.737144,82.308571,81.595711,80.404289,81.92897914285713,80.74918996666665
81.571426,82.08857,81.364288,82.01857,70.875465,83813800,0.004549197870872046,0.2246138924689731,0,0.371428999999992,81.647141,81.737144,82.308571,81.637146,81.98346828571428,80.71257089999999
81.565712,83.984283,81.48143,83.682854,72.313637,110103000,0.020291551047525003,1.2009513969517787,0,1.6642840000000092,82.01857,81.647141,81.737144,81.674286,82.27040657142858,80.81033269999999
83.342857,84.285713,83.300003,83.915718,72.514885,90351100,0.002782696680015073,0.11505585213069269,0,0.2328639999999922,83.682854,82.01857,81.647141,82.902855,82.41510128571429,80.89571376666666
84.029999,84.178574,82.971428,83.677139,72.308708,89735800,-0.0028430788139118812,-0.23385358630492625,0,-0.23857900000000143,83.915718,83.682854,82.01857,81.595711,82.71244814285714,80.9793327
83.634285,84.031425,82.491432,82.524284,71.312492,81587800,-0.013777418943542119,-0.9119991110262288,0,-1.1528550000000024,83.677139,83.915718,83.682854,82.308571,82.74326428571429,81.0197611
82.720001,83.169998,82.202858,83.157143,71.85936,71117900,0.007668760870436664,0.4180885477440736,0,0.6328590000000105,82.524284,83.677139,83.915718,81.737144,82.94612128571428,81.0749041
82.471428,82.828575,81.48143,81.538574,70.460701,76095600,-0.019463980382298685,-1.2646784812513714,0,-1.618569000000008,83.157143,82.524284,83.677139,81.647141,82.93061171428572,81.09423749999999
81.618568,82.07,81.047142,81.718575,70.616219,69134100,0.00220755638920056,0.07938576964936787,0,0.1800010000000043,81.538574,83.157143,82.524284,82.01857,82.88775528571429,81.1599996
